Ano-calendário;Competência;Orçamento;Descrição;Valor da Receita Tributária;Percentual do PIB;Classificação Receita
2002;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO SOCIAL SOBRE O LUCRO LÍQUIDO;12428.2203;0.008347882;Baixa
2002;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO PARA O PIS/PASEP;12516.64309;0.008407274;Baixa
2002;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. SEG. SOC. SERVIDOR PÚBLICO - CPSS;4369.006113;0.002934607;Baixa
2002;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. S/ RECEITA DE CONCURSOS E PROGN.;1053.680634;0.000707744;Baixa
2002;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. PARTIC. SEGURO DPVAT;694.3510666;0.000466387;Baixa
2002;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÕES RURAIS;75.75909626;5.09e-05;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;DEMAIS;61058.63701;0.041012332;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;CONTRIBUIÇÃO PARA O FGTS;23847.75276;0.016018241;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;SALÁRIO EDUCAÇÃO;3607.675528;0.002423231;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;CONTRIBUIÇÕES PARA O SISTEMA S;3292.03554;0.00221122;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;CIDE COMBUSTÍVEIS;7582.698712;0.005093205;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;CIDE REMESSAS;295.2483389;0.000198315;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;OUTRAS CONTRIBUIÇÕES FEDERAIS;20992.00347;0.014100069;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;CONTR. S/ REC. EMPR. TELECOMUN.;602.4169525;0.000404636;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;DÍVIDA ATIVA OUTROS TRIB. E CONTRIB.;504.0554454;0.000338568;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;CONTRIB. S/REC.CONCESS.PERMISS.ENERG.ELET.;189.7170891;0.000127431;Baixa
2002;Tributos do Governo Federal;Demais - Governo Federal;COTA-PARTE CONTRIB. SINDICAL;145.0331823;9.74e-05;Baixa
2002;Tributos do Governo Estadual;Governo Estadual;TRIBUTOS DO GOVERNO ESTADUAL;124003.9329;0.083291909;Baixa
2002;Tributos do Governo Estadual;Governo Estadual;ICMS;104168.3333;0.069968582;Baixa
2002;Tributos do Governo Estadual;Governo Estadual;IPVA;6952.997329;0.004670242;Baixa
2002;Tributos do Governo Estadual;Governo Estadual;ITCD;510.2348253;0.000342718;Baixa
2002;Tributos do Governo Estadual;Governo Estadual;CONTRIB. REGIME PRÓPRIO PREVID. EST.;7368.773095;0.004949514;Baixa
2002;Tributos do Governo Estadual;Governo Estadual;OUTROS TRIBUTOS ESTADUAIS;5003.59426;0.003360852;Baixa
2002;Tributos do Governo Municipal;Governo Municipal;TRIBUTOS DO GOVERNO MUNICIPAL;23224.88993;0.015599872;Baixa
2002;Tributos do Governo Municipal;Governo Municipal;ISS;9028.500062;0.006064332;Baixa
2002;Tributos do Governo Municipal;Governo Municipal;IPTU;7711.141815;0.005179479;Baixa
2002;Tributos do Governo Municipal;Governo Municipal;ITBI;1678.335699;0.001127317;Baixa
2002;Tributos do Governo Municipal;Governo Municipal;CONTRIB. REGIME PRÓPRIO PREVID. MUN.;1821.771846;0.001223662;Baixa
2002;Tributos do Governo Municipal;Governo Municipal;OUTROS TRIBUTOS MUNICIPAIS;2985.140512;0.002005082;Baixa
2003;Total dos Tributos União;União;TOTAL DA RECEITA TRIBUTÁRIA;539229.7376;0.31387969;Alta
2003;Tributos do Governo Federal;Orçamento Fiscal;TRIBUTOS DO GOVERNO FEDERAL;369822.0652;0.21526935;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;ORÇAMENTO FISCAL;125222.8939;0.072890867;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - TOTAL;91220.07157;0.053098199;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - PESSOAS FÍSICAS;4747.819909;0.002763654;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - PESSOAS JURÍDICAS;30810.82726;0.017934643;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - RETIDO NA FONTE;55661.4244;0.032399902;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS;17769.59311;0.010343484;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO SOBRE OPERAÇÕES FINANCEIRAS;4420.933437;0.002573377;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTOS SOBRE O COMÉRCIO EXTERIOR;8130.635079;0.004732753;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;TAXAS FEDERAIS;1792.24651;0.001043247;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;COTA-PARTE AD FR. REN. MAR. MERCANTE;689.1842512;0.000401167;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;CONTRIB. CUSTEIO PENSÕES MILITARES;967.1411542;0.000562962;Baixa
2003;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO TERRITORIAL RURAL;233.0887779;0.000135678;Baixa
2003;Tributos do Governo Federal;Orçamento Seguridade Social;ORÇAMENTO SEGURIDADE SOCIAL;176541.6097;0.102762926;Baixa
2003;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO PARA A PREVIDÊNCIA SOCIAL;79687.35954;0.046385134;Baixa
2003;Tributos do Governo Federal;Orçamento Seguridade Social;COFINS;58086.51316;0.033811519;Baixa
2003;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO SOCIAL SOBRE O LUCRO LÍQUIDO;15701.39745;0.00913961;Baixa
2003;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO PARA O PIS/PASEP;16614.67041;0.009671217;Baixa
2003;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. SEG. SOC. SERVIDOR PÚBLICO - CPSS;4313.692263;0.002510953;Baixa
2003;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. S/ RECEITA DE CONCURSOS E PROGN.;1276.980408;0.000743316;Baixa
2003;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. PARTIC. SEGURO DPVAT;772.0317191;0.000449391;Baixa
2003;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÕES RURAIS;88.96470674;5.18e-05;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;DEMAIS;68057.56162;0.039615557;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;CONTRIBUIÇÃO PARA O FGTS;26974.22624;0.0157014;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;SALÁRIO EDUCAÇÃO;3983.631019;0.002318828;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;CONTRIBUIÇÕES PARA O SISTEMA S;3838.210571;0.00223418;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;CIDE COMBUSTÍVEIS;8405.895652;0.004892979;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;CIDE REMESSAS;479.0189521;0.000278832;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;OUTRAS CONTRIBUIÇÕES FEDERAIS;23332.97791;0.013581869;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;CONTR. S/ REC. EMPR. TELECOMUN.;644.7510041;0.000375302;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;DÍVIDA ATIVA OUTROS TRIB. E CONTRIB.;51.40773928;2.99e-05;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;CONTRIB. S/REC.CONCESS.PERMISS.ENERG.ELET.;178.2275028;0.000103744;Baixa
2003;Tributos do Governo Federal;Demais - Governo Federal;COTA-PARTE CONTRIB. SINDICAL;169.2150319;9.85e-05;Baixa
2003;Tributos do Governo Estadual;Governo Estadual;TRIBUTOS DO GOVERNO ESTADUAL;142280.7609;0.082820063;Baixa
2003;Tributos do Governo Estadual;Governo Estadual;ICMS;118910.695;0.069216606;Baixa
2003;Tributos do Governo Estadual;Governo Estadual;IPVA;7657.020538;0.004457067;Baixa
2003;Tributos do Governo Estadual;Governo Estadual;ITCD;873.1107554;0.000508228;Baixa
2003;Tributos do Governo Estadual;Governo Estadual;CONTRIB. REGIME PRÓPRIO PREVID. EST.;8219.821442;0.004784668;Baixa
2003;Tributos do Governo Estadual;Governo Estadual;OUTROS TRIBUTOS ESTADUAIS;6620.11313;0.003853495;Baixa
2003;Tributos do Governo Municipal;Governo Municipal;TRIBUTOS DO GOVERNO MUNICIPAL;27126.91156;0.015790276;Baixa
2003;Tributos do Governo Municipal;Governo Municipal;ISS;10284.83067;0.005986687;Baixa
2003;Tributos do Governo Municipal;Governo Municipal;IPTU;8861.348659;0.005158093;Baixa
2003;Tributos do Governo Municipal;Governo Municipal;ITBI;1764.296313;0.001026977;Baixa
2003;Tributos do Governo Municipal;Governo Municipal;CONTRIB. REGIME PRÓPRIO PREVID. MUN.;2318.67898;0.001349677;Baixa
2003;Tributos do Governo Municipal;Governo Municipal;OUTROS TRIBUTOS MUNICIPAIS;3897.756938;0.002268841;Baixa
2004;Total dos Tributos União;União;TOTAL DA RECEITA TRIBUTÁRIA;633391.2037;0.323529976;Alta
2004;Tributos do Governo Federal;Orçamento Fiscal;TRIBUTOS DO GOVERNO FEDERAL;435190.6845;0.222291107;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;ORÇAMENTO FISCAL;140477.129;0.071754331;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - TOTAL;100360.0459;0.051262921;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - PESSOAS FÍSICAS;5778.053004;0.002951372;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - PESSOAS JURÍDICAS;35223.73567;0.017991937;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - RETIDO NA FONTE;59358.25724;0.030319612;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS;21066.36759;0.010760493;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO SOBRE OPERAÇÕES FINANCEIRAS;5232.586376;0.002672753;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTOS SOBRE O COMÉRCIO EXTERIOR;9216.98091;0.004707943;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;TAXAS FEDERAIS;2266.087605;0.001157495;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;COTA-PARTE AD FR. REN. MAR. MERCANTE;1075.640262;0.000549426;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;CONTRIB. CUSTEIO PENSÕES MILITARES;1016.083999;0.000519006;Baixa
2004;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO TERRITORIAL RURAL;243.3363608;0.000124294;Baixa
2004;Tributos do Governo Federal;Orçamento Seguridade Social;ORÇAMENTO SEGURIDADE SOCIAL;219020.7492;0.111873637;Baixa
2004;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO PARA A PREVIDÊNCIA SOCIAL;93614.86895;0.047817551;Baixa
2004;Tributos do Governo Federal;Orçamento Seguridade Social;COFINS;77402.34673;0.039536355;Baixa
2004;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO SOCIAL SOBRE O LUCRO LÍQUIDO;19339.91433;0.009878637;Baixa
2004;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO PARA O PIS/PASEP;19321.13774;0.009869046;Baixa
2004;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. SEG. SOC. SERVIDOR PÚBLICO - CPSS;6906.462659;0.003527753;Baixa
2004;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. S/ RECEITA DE CONCURSOS E PROGN.;1521.302606;0.000777066;Baixa
2004;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. PARTIC. SEGURO DPVAT;799.0669312;0.000408156;Baixa
2004;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÕES RURAIS;115.649277;5.91e-05;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;DEMAIS;75692.80629;0.038663138;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;CONTRIBUIÇÃO PARA O FGTS;29821.35115;0.015232452;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;SALÁRIO EDUCAÇÃO;4802.386771;0.002453012;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;CONTRIBUIÇÕES PARA O SISTEMA S;4794.562539;0.002449015;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;CIDE COMBUSTÍVEIS;7815.980797;0.003992326;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;CIDE REMESSAS;544.9125461;0.000278336;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;OUTRAS CONTRIBUIÇÕES FEDERAIS;26730.3824;0.013653616;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;CONTR. S/ REC. EMPR. TELECOMUN.;730.5701624;0.000373168;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;DÍVIDA ATIVA OUTROS TRIB. E CONTRIB.;102.2268134;5.22e-05;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;CONTRIB. S/REC.CONCESS.PERMISS.ENERG.ELET.;198.8437062;0.000101567;Baixa
2004;Tributos do Governo Federal;Demais - Governo Federal;COTA-PARTE CONTRIB. SINDICAL;151.5894066;7.74e-05;Baixa
2004;Tributos do Governo Estadual;Governo Estadual;TRIBUTOS DO GOVERNO ESTADUAL;166015.9601;0.084799314;Baixa
2004;Tributos do Governo Estadual;Governo Estadual;ICMS;138006.9168;0.070492571;Baixa
2004;Tributos do Governo Estadual;Governo Estadual;IPVA;8829.081123;0.004509808;Baixa
2004;Tributos do Governo Estadual;Governo Estadual;ITCD;736.9079931;0.000376405;Baixa
2004;Tributos do Governo Estadual;Governo Estadual;CONTRIB. REGIME PRÓPRIO PREVID. EST.;10789.07079;0.005510951;Baixa
2004;Tributos do Governo Estadual;Governo Estadual;OUTROS TRIBUTOS ESTADUAIS;7653.983362;0.003909579;Baixa
2004;Tributos do Governo Municipal;Governo Municipal;TRIBUTOS DO GOVERNO MUNICIPAL;32184.55908;0.016439555;Baixa
2004;Tributos do Governo Municipal;Governo Municipal;ISS;12551.67318;0.006411271;Baixa
2004;Tributos do Governo Municipal;Governo Municipal;IPTU;9886.334345;0.005049842;Baixa
2004;Tributos do Governo Municipal;Governo Municipal;ITBI;1902.742613;0.000971902;Baixa
2004;Tributos do Governo Municipal;Governo Municipal;CONTRIB. REGIME PRÓPRIO PREVID. MUN.;2892.175711;0.001477295;Baixa
2004;Tributos do Governo Municipal;Governo Municipal;OUTROS TRIBUTOS MUNICIPAIS;4951.633228;0.002529245;Baixa
2005;Total dos Tributos União;União;TOTAL DA RECEITA TRIBUTÁRIA;727944.2551;0.335367849;Alta
2005;Tributos do Governo Federal;Orçamento Fiscal;TRIBUTOS DO GOVERNO FEDERAL;506032.6778;0.233131987;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;ORÇAMENTO FISCAL;168242.7257;0.077510332;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - TOTAL;124062.7979;0.057156401;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - PESSOAS FÍSICAS;6896.152196;0.003177095;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - PESSOAS JURÍDICAS;47454.67343;0.021862624;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - RETIDO NA FONTE;69711.97223;0.032116682;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS;24078.18322;0.011092949;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO SOBRE OPERAÇÕES FINANCEIRAS;5966.364846;0.002748736;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTOS SOBRE O COMÉRCIO EXTERIOR;8942.694094;0.004119947;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;TAXAS FEDERAIS;2874.720872;0.001324399;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;COTA-PARTE AD FR. REN. MAR. MERCANTE;983.5810864;0.000453141;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;CONTRIB. CUSTEIO PENSÕES MILITARES;1061.42492;0.000489004;Baixa
2005;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO TERRITORIAL RURAL;272.9588496;0.000125754;Baixa
2005;Tributos do Governo Federal;Orçamento Seguridade Social;ORÇAMENTO SEGURIDADE SOCIAL;253059.4455;0.116585853;Baixa
2005;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO PARA A PREVIDÊNCIA SOCIAL;106948.1209;0.049271577;Baixa
2005;Tributos do Governo Federal;Orçamento Seguridade Social;COFINS;86677.54016;0.039932811;Baixa
2005;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO SOCIAL SOBRE O LUCRO LÍQUIDO;25000.64978;0.011517934;Baixa
2005;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO PARA O PIS/PASEP;21340.44059;0.009831656;Baixa
2005;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. SEG. SOC. SERVIDOR PÚBLICO - CPSS;10435.14219;0.004807526;Baixa
2005;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. S/ RECEITA DE CONCURSOS E PROGN.;1564.27566;0.00072067;Baixa
2005;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. PARTIC. SEGURO DPVAT;994.58099;0.000458209;Baixa
2005;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÕES RURAIS;98.69518187;4.55e-05;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;DEMAIS;84730.50661;0.039035802;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;CONTRIBUIÇÃO PARA O FGTS;35131.93771;0.016185473;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;SALÁRIO EDUCAÇÃO;5761.649807;0.002654423;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;CONTRIBUIÇÕES PARA O SISTEMA S;4470.234565;0.002059461;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;CIDE COMBUSTÍVEIS;7681.339739;0.003538835;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;CIDE REMESSAS;633.1921176;0.000291715;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;OUTRAS CONTRIBUIÇÕES FEDERAIS;29541.41357;0.013609889;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;CONTR. S/ REC. EMPR. TELECOMUN.;795.1770326;0.000366342;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;DÍVIDA ATIVA OUTROS TRIB. E CONTRIB.;273.8527299;0.000126165;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;CONTRIB. S/REC.CONCESS.PERMISS.ENERG.ELET.;200.7823327;9.25e-05;Baixa
2005;Tributos do Governo Federal;Demais - Governo Federal;COTA-PARTE CONTRIB. SINDICAL;240.9270004;0.000110996;Baixa
2005;Tributos do Governo Estadual;Governo Estadual;TRIBUTOS DO GOVERNO ESTADUAL;186120.6279;0.085746778;Baixa
2005;Tributos do Governo Estadual;Governo Estadual;ICMS;153975.5535;0.070937369;Baixa
2005;Tributos do Governo Estadual;Governo Estadual;IPVA;10406.3482;0.004794261;Baixa
2005;Tributos do Governo Estadual;Governo Estadual;ITCD;816.4920933;0.000376162;Baixa
2005;Tributos do Governo Estadual;Governo Estadual;CONTRIB. REGIME PRÓPRIO PREVID. EST.;12020.43011;0.005537877;Baixa
2005;Tributos do Governo Estadual;Governo Estadual;OUTROS TRIBUTOS ESTADUAIS;8901.803984;0.004101109;Baixa
2005;Tributos do Governo Municipal;Governo Municipal;TRIBUTOS DO GOVERNO MUNICIPAL;35790.94943;0.016489084;Baixa
2005;Tributos do Governo Municipal;Governo Municipal;ISS;14816.69948;0.006826133;Baixa
2005;Tributos do Governo Municipal;Governo Municipal;IPTU;10752.77803;0.004953863;Baixa
2005;Tributos do Governo Municipal;Governo Municipal;ITBI;2201.380472;0.001014188;Baixa
2005;Tributos do Governo Municipal;Governo Municipal;CONTRIB. REGIME PRÓPRIO PREVID. MUN.;2700.935018;0.001244335;Baixa
2005;Tributos do Governo Municipal;Governo Municipal;OUTROS TRIBUTOS MUNICIPAIS;5319.156439;0.002450564;Baixa
2006;Total dos Tributos União;União;TOTAL DA RECEITA TRIBUTÁRIA;802036.0371;0.332871013;Alta
2006;Tributos do Governo Federal;Orçamento Fiscal;TRIBUTOS DO GOVERNO FEDERAL;555022.7189;0.230352461;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;ORÇAMENTO FISCAL;184914.1466;0.076745379;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - TOTAL;135719.3664;0.056327947;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - PESSOAS FÍSICAS;7914.276666;0.003284682;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - PESSOAS JURÍDICAS;51954.76216;0.021562914;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - RETIDO NA FONTE;75850.32761;0.03148035;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS;26863.24141;0.011149118;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO SOBRE OPERAÇÕES FINANCEIRAS;6739.783381;0.002797229;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTOS SOBRE O COMÉRCIO EXTERIOR;9859.601198;0.004092055;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;TAXAS FEDERAIS;3254.920063;0.001350898;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;COTA-PARTE AD FR. REN. MAR. MERCANTE;910.4872117;0.000377882;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;CONTRIB. CUSTEIO PENSÕES MILITARES;1276.455258;0.00052977;Baixa
2006;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO TERRITORIAL RURAL;290.2916851;0.00012048;Baixa
2006;Tributos do Governo Federal;Orçamento Seguridade Social;ORÇAMENTO SEGURIDADE SOCIAL;275885.1346;0.114501294;Baixa
2006;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO PARA A PREVIDÊNCIA SOCIAL;121372.8656;0.050373683;Baixa
2006;Tributos do Governo Federal;Orçamento Seguridade Social;COFINS;89302.60882;0.037063484;Baixa
2006;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO SOCIAL SOBRE O LUCRO LÍQUIDO;26639.9108;0.011056429;Baixa
2006;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO PARA O PIS/PASEP;23460.65113;0.009736932;Baixa
2006;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. SEG. SOC. SERVIDOR PÚBLICO - CPSS;11996.34443;0.004978873;Baixa
2006;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. S/ RECEITA DE CONCURSOS E PROGN.;1532.960496;0.000636228;Baixa
2006;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIB. PARTIC. SEGURO DPVAT;1450.311564;0.000601926;Baixa
2006;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÕES RURAIS;129.4818278;5.37e-05;Baixa
2006;Tributos do Governo Federal;Demais - Governo Federal;DEMAIS;94223.43761;0.039105788;Baixa
2006;Tributos do Governo Federal;Demais - Governo Federal;CONTRIBUIÇÃO PARA O FGTS;39336.72815;0.01632602;Baixa
2006;Tributos do Governo Federal;Demais - Governo Federal;SALÁRIO EDUCAÇÃO;6925.957468;0.002874497;Baixa
2006;Tributos do Governo Federal;Demais - Governo Federal;CONTRIBUIÇÕES PARA O SISTEMA S;5532.973473;0.002296364;Baixa
2006;Tributos do Governo Federal;Demais - Governo Federal;CIDE COMBUSTÍVEIS;7820.948553;0.003245948;Baixa
2006;Tributos do Governo Federal;Demais - Governo Federal;CIDE REMESSAS;662.7060507;0.000275045;Baixa
2006;Tributos do Governo Federal;Demais - Governo Federal;OUTRAS CONTRIBUIÇÕES FEDERAIS;32322.84417;0.01341503;Baixa
